Indnum,Activity,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
3,TV/computer use,64,27,,,,,,,,,,
3,air travel - large plane,2653,42,,,,,,,,,,
3,air travel - small  plane (<50 seats),,,,,,,,,,,,1
3,car trips- self only,260,60,,,,,1,,,,,
3,car trips - driver and self,35,19,,,,,1,,,,,
3,car trips - 2+ people with multiple end points,23,,,,,,1,,,,,
3,trips using public ground transportation,13,44,,,,,,,,,,
3,bags of garbage disposed,22,49,,,,,,,,,,
3,bags of recycling deposited (negative CF),,,,,,,,,,,,
3,bags of compost deposited (negative CF),,,,,,,,,,,,
3,hazardous or electric items disposed,,,,,,,,,,,,
3,large items disposed,,20,,,,,,,,,,
4,Household heating => 70F,10,93,,,,,,1,,,,
4,Household heating < 70F,4,73,,,,,,1,,,,
4,Use of heat pump,,48,,,,,,,,,,
4,Use of air conditioner,18,47,,,,,,,,,,
4,shower - short,5,90,,,,,,,,,,
4,shower - long (> 3 min),12,84,,,,,,,,,,
4,bath,,20,,,,,,,,,,
4,wash-up,35,36,,1,,,,,,,,
4,use of dishwasher,,25,,,,,,,,,,
4,use of clothes washer,6,41,,,,,,,,,,
4,use of clothes dryer,2,14,,,,,,,,,1,
4,use of cooking range,,,,,,,,,,,1,
4,use of  oven,11,33,,,,1,,,,,1,
4,use of self-clean feature of electric oven,3,18,,,,,,,,,,
4,Small kitchen appliance in the home,,,,,,,,,,,,
4,TV/computer use,59,25,,,,,,,,,,
4,air travel - large plane,3419,44,,,,,,,,,,
4,air travel - small  plane (<50 seats),,,,,,,,,,,,
4,car trips- self only,336,58,,,,,1,,,,,
4,car trips - driver and self,28,28,,,,,1,,,,,
4,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
4,trips using public ground transportation,12,42,,,,,,,,,,
4,bags of garbage disposed,27,41,,,,,,,,,,
4,bags of recycling deposited (negative CF),,,,,,,,,,,,
4,bags of compost deposited (negative CF),,,,,,,,,,,,
4,hazardous or electric items disposed,,,,,,,,,,,,
4,large items disposed,,17,,,,,,,,,,
5,Household heating => 70F,8,80,,,,,,1,,,,
5,Household heating < 70F,10,77,,1,,,,1,,,,
5,Use of heat pump,,43,,,,,,,,,,
5,Use of air conditioner,14,53,,,1,,,,,,,
5,shower - short,7,84,,,,,,,,,,
5,shower - long (> 3 min),10,72,,,,,,,,,,
5,bath,,10,,,,,,,,,,
5,wash-up,45,28,,,,,,,,,,
5,use of dishwasher,,20,,,,,,,,,,
5,use of clothes washer,7,41,1,,,,,,,1,,
5,use of clothes dryer,1,21,1,,,,,,,,,
5,use of cooking range,,,,,,,,,,,,
5,use of  oven,12,32,,,,,,,,,,
5,use of self-clean feature of electric oven,2,16,,,,,,,,,,
5,Small kitchen appliance in the home,,,,,,,,,,,,
5,TV/computer use,64,29,,,,,,,,,,
5,air travel - large plane,3113,46,,,,,,,,,,1
5,air travel - small  plane (<50 seats),,,,,,,,,,,,1
5,car trips- self only,388,50,,,,,1,,,,,
5,car trips - driver and self,15,27,,,,,1,,,,,
5,car trips - 2+ people with multiple end points,15,,,,,,1,,,,,
5,trips using public ground transportation,19,45,,,,,,,,,,
5,bags of garbage disposed,17,48,,,,,,,,,,
5,bags of recycling deposited (negative CF),,,,,,,,,,,,
5,bags of compost deposited (negative CF),,,,,,,,,,,,
5,hazardous or electric items disposed,,,,,,,,,,,,
5,large items disposed,2,12,,,,,,,,,,
6,Household heating => 70F,6,63,,,,1,,1,,,,
6,Household heating < 70F,3,75,,,,,,1,,,,
6,Use of heat pump,,52,1,,,,,,,,,
6,Use of air conditioner,14,44,,,,,,,,,,
6,shower - short,8,97,,,,,,,,1,,
6,shower - long (> 3 min),26,80,,,,,,,,,,
6,bath,,18,,,,,,,,,,
6,wash-up,32,35,,,,,,,,,,
6,use of dishwasher,10,22,,,,,,,,,,
6,use of clothes washer,4,31,,,,,,,,,,
6,use of clothes dryer,2,20,,,,,,,,1,1,
6,use of cooking range,,,1,,,,,,,,1,
6,use of  oven,11,33,1,,,,,,,,1,
6,use of self-clean feature of electric oven,3,12,,,,,,,,,,
6,Small kitchen appliance in the home,59,,,,,,,,,,,
6,TV/computer use,59,30,,,,,,,,,,
6,air travel - large plane,2021,47,,,,,,,,,,
6,air travel - small  plane (<50 seats),,,,,,,,,,,,
6,car trips- self only,267,45,,,,,1,,,,,
6,car trips - driver and self,21,34,,,,,1,,,,,
6,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
6,trips using public ground transportation,14,51,,,,,,,,,,
6,bags of garbage disposed,22,47,,,,,,,,,,
6,bags of recycling deposited (negative CF),,,,,,,,,,,,
6,bags of compost deposited (negative CF),,,,,,,,,,,,
6,hazardous or electric items disposed,,,,,,,,,,,,
6,large items disposed,1,17,,,,,,,,,,
7,Household heating => 70F,5,85,1,,,,,1,,,,
7,Household heating < 70F,1,72,,,,,,1,,,,
7,Use of heat pump,,44,,,,,,,,,,
7,Use of air conditioner,20,46,,1,,,,,,,,
7,shower - short,3,86,,,,,,,,,,
7,shower - long (> 3 min),23,80,,,,,,,,,,
7,bath,,21,,,,,,,,,,
7,wash-up,37,44,1,1,,,,,,,,
7,use of dishwasher,,24,,,,1,,,,,,
7,use of clothes washer,5,38,,1,,,,,,,,
7,use of clothes dryer,4,17,,,,,,,,,,
7,use of cooking range,16,,,,,,,,,,,
7,use of  oven,9,38,,,,,,,,,,
7,use of self-clean feature of electric oven,1,17,1,,,,,,,,,
7,Small kitchen appliance in the home,,,,,,,,,,,,
7,TV/computer use,63,29,,,,,,,,,,
7,air travel - large plane,3016,45,,,,,,,,,,
7,air travel - small  plane (<50 seats),,,,,,,,,,,,1
7,car trips- self only,288,57,,,,,1,,,,,
7,car trips - driver and self,39,22,,,,,1,,,,,
7,car trips - 2+ people with multiple end points,11,,,,,,1,,,,,
7,trips using public ground transportation,12,48,,,,,,,,,,
7,bags of garbage disposed,18,41,,,,,,,,,,
7,bags of recycling deposited (negative CF),,,,,,,,,,,,
7,bags of compost deposited (negative CF),,,,,,,,,,,,
7,hazardous or electric items disposed,,,,,,,,,,,,
7,large items disposed,,19,,,,,,,,,,
8,Household heating => 70F,4,79,,,1,,,1,,,,
8,Household heating < 70F,6,71,,,,,,1,,,,
8,Use of heat pump,,40,,,,,,,,,,
8,Use of air conditioner,15,52,,,,,,,,,,
8,shower - short,5,87,,,,,,,,,,
8,shower - long (> 3 min),15,82,,,,,,,,,,
8,bath,,10,,,,,,,,,,
8,wash-up,49,32,,,,,,,,,,
8,use of dishwasher,,20,,,,,,,,,,
8,use of clothes washer,5,29,,,,,,,,,,
8,use of clothes dryer,4,12,,,,,,,,,1,
8,use of cooking range,,,,,,,,,,,1,
8,use of  oven,10,36,,,,,,,1,,1,
8,use of self-clean feature of electric oven,1,11,,,,,,,,,,
8,Small kitchen appliance in the home,,,,,,,,,,,,
8,TV/computer use,60,28,,,,1,,,,,,
8,air travel - large plane,2895,46,,,,,,,,,,
8,air travel - small  plane (<50 seats),,,,,,,,,,,,
8,car trips- self only,359,61,,,,,1,,,,,
8,car trips - driver and self,38,39,,,,,1,,,,,
8,car trips - 2+ people with multiple end points,10,,,,,,1,,,,,
8,trips using public ground transportation,14,44,,,,,,,,,,
8,bags of garbage disposed,20,49,,,,,,,,,,
8,bags of recycling deposited (negative CF),,,,,,,,,,,,
8,bags of compost deposited (negative CF),,,,,,,,,,,,
8,hazardous or electric items disposed,,,,,,,,,,,,
8,large items disposed,2,17,,,,,,,,,,
9,Household heating => 70F,4,61,,,,,,1,,,,
9,Household heating < 70F,6,89,1,,,1,,1,,1,,
9,Use of heat pump,,55,,,,,,,,,,
9,Use of air conditioner,20,50,,,,1,,,,,,
9,shower - short,2,95,,,,,,,,,,
9,shower - long (> 3 min),35,87,,,,,,,,,,
9,bath,,17,,,,,,,,,,
9,wash-up,52,32,,,,,,,,,,
9,use of dishwasher,,22,,,,,,,1,,,
9,use of clothes washer,7,34,,,,,,,,,,
9,use of clothes dryer,2,12,,,,,,,,,,
9,use of cooking range,,,,,,,,,,,,
9,use of  oven,8,39,,,,,,,,,,
9,use of self-clean feature of electric oven,4,19,,,,,,,,,,
9,Small kitchen appliance in the home,,,,,,1,,,,,,
9,TV/computer use,64,27,,,,,,,,,,
9,air travel - large plane,3406,44,,,,,,,,,,
9,air travel - small  plane (<50 seats),,,,,,,,,,,,
9,car trips- self only,311,44,,,,,1,,,,,
9,car trips - driver and self,24,27,,,,,1,,,,,
9,car trips - 2+ people with multiple end points,20,,,,,,1,,,,,
9,trips using public ground transportation,19,56,,,,,,,,,,
9,bags of garbage disposed,23,43,,,,,,,,,,
9,bags of recycling deposited (negative CF),,,,,,,,,,,,
9,bags of compost deposited (negative CF),,,,,,,,,,,,
9,hazardous or electric items disposed,,,,,,,,,,,,
9,large items disposed,1,20,,,,,,,,,,
10,Household heating => 70F,6,67,,,1,,,1,,,,
10,Household heating < 70F,10,93,,,,,,1,,,,
10,Use of heat pump,,42,,,,,,,,,,
10,Use of air conditioner,31,44,,,,,,,,,,
10,shower - short,4,91,,1,,,,,,,,
10,shower - long (> 3 min),19,90,,,,1,,,,,,
10,bath,,21,1,,,,,,1,,,
10,wash-up,48,31,,,,,,,,,,
10,use of dishwasher,,20,,,,,,,,,,
10,use of clothes washer,4,33,,,,,,,,,,
10,use of clothes dryer,4,13,,1,,,,,,,1,
10,use of cooking range,,,,,,,,,,,1,
10,use of  oven,8,36,,,,,,,,,1,
10,use of self-clean feature of electric oven,1,16,,,,,,,,,,
10,Small kitchen appliance in the home,,,,,,,,,,,,
10,TV/computer use,58,26,,,,,,,,,,
10,air travel - large plane,2949,48,,,,,,,,,,1
10,air travel - small  plane (<50 seats),,,,,,,,,,,,
10,car trips- self only,354,51,,,,,1,,,,,
10,car trips - driver and self,20,22,,,,,1,,,,,
10,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
10,trips using public ground transportation,14,53,,,,,,,,,,
10,bags of garbage disposed,28,49,,,,,,,,,,
10,bags of recycling deposited (negative CF),,,,,,,,,,,,
10,bags of compost deposited (negative CF),,,,,,,,,,,,
10,hazardous or electric items disposed,,,,,,,,,,,,
10,large items disposed,,16,,,,,,,,,,
11,Household heating => 70F,8,78,,,,,,1,,,,
11,Household heating < 70F,6,85,1,,,1,,1,,,,
11,Use of heat pump,,55,,,,,,,,,,
11,Use of air conditioner,28,49,,,,,,,,,,
11,shower - short,2,98,,,,,,,,,,
11,shower - long (> 3 min),37,77,,,,1,,,,,,
11,bath,,20,,,,,,,,,,
11,wash-up,40,31,,,,,,,,,,
11,use of dishwasher,,19,,,,,,,,,,
11,use of clothes washer,2,36,,,,,,,,,,
11,use of clothes dryer,4,14,,,,,,,,,,
11,use of cooking range,,,,,,,,,,,,
11,use of  oven,9,40,,,,,,,,,,
11,use of self-clean feature of electric oven,4,21,,,,,,,,,,
11,Small kitchen appliance in the home,,,,,,,,,,,,
11,TV/computer use,64,30,,,,,,,,1,,
11,air travel - large plane,2918,49,,,,,,,,,,
11,air travel - small  plane (<50 seats),,,,,,,,,,,,
11,car trips- self only,463,48,,,,,1,,,,,
11,car trips - driver and self,16,40,,,,,1,,,,,
11,car trips - 2+ people with multiple end points,12,,,,,,1,,,,,
11,trips using public ground transportation,12,45,,,,,,,,,,
11,bags of garbage disposed,25,41,,,,,,,,,,
11,bags of recycling deposited (negative CF),,,,,,,,,,,,
11,bags of compost deposited (negative CF),,,,,,,,,,,,
11,hazardous or electric items disposed,,,,,,,,,,,,
11,large items disposed,,17,,,,,,,,,,
12,Household heating => 70F,3,84,,,,,,1,,,,
12,Household heating < 70F,9,72,,,,,,1,,,,
12,Use of heat pump,,40,,1,,,,,,,,
12,Use of air conditioner,26,43,,1,,,,,,,,
12,shower - short,6,98,,,1,,,,,,,
12,shower - long (> 3 min),20,76,,,,,,,,,,
12,bath,,13,,,,1,,,,,,
12,wash-up,49,33,,,,,,,,,,
12,use of dishwasher,,23,,,,,,,,,,
12,use of clothes washer,8,28,,,,,,,,,,
12,use of clothes dryer,2,18,1,,1,,,,,,1,
12,use of cooking range,,,,,,,,,,,1,
12,use of  oven,10,36,,,,,,,,,1,
12,use of self-clean feature of electric oven,2,15,1,1,,,,,,,,
12,Small kitchen appliance in the home,,,,,,,,,,,,
12,TV/computer use,61,31,,,,,,,,,,
12,air travel - large plane,3084,51,,,,,,,,,,
12,air travel - small  plane (<50 seats),,,,,,,,,,,,
12,car trips- self only,430,50,,,,,1,,,,,
12,car trips - driver and self,19,20,,,,,1,,,,,
12,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
12,trips using public ground transportation,12,44,,,,,,,,,,
12,bags of garbage disposed,21,43,,,,,,,,,,
12,bags of recycling deposited (negative CF),,,,,,,,,,,,
12,bags of compost deposited (negative CF),2,4,,,,,,,,,,
12,hazardous or electric items disposed,,,,,,,,,,,,
12,large items disposed,,12,,,,,,,,,,
13,Household heating => 70F,1,80,,,,,,1,1,,,
13,Household heating < 70F,9,73,,,,,,1,,,,
13,Use of heat pump,,44,,,,,,,,,,
13,Use of air conditioner,22,39,,,,,,,,,,
13,shower - short,2,86,,,,,,,,,,
13,shower - long (> 3 min),11,81,,,,,,,,,,
13,bath,,15,,,,,,,,,,
13,wash-up,34,44,,,,,,,,,,
13,use of dishwasher,,20,,,,,,,1,,,
13,use of clothes washer,4,47,,,,,,,,,,
13,use of clothes dryer,4,13,,,,,,,,,,
13,use of cooking range,,,,,,,,,,,,
13,use of  oven,11,34,,,,,,,,,,
13,use of self-clean feature of electric oven,3,16,,,,,,,,,,
13,Small kitchen appliance in the home,,,,,,,,,,,,
13,TV/computer use,63,29,,,,,,,,,,
13,air travel - large plane,3034,42,,,,,,,,,,
13,air travel - small  plane (<50 seats),,,,,,,,,,,,
13,car trips- self only,270,49,,,,,1,,,,,
13,car trips - driver and self,20,21,,,,,1,,,,,
13,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
13,trips using public ground transportation,14,43,,,,,,,,,,
13,bags of garbage disposed,17,50,,,,,,,,,,
13,bags of recycling deposited (negative CF),,,,,,,,,,,,
13,bags of compost deposited (negative CF),,,,,,,,,,,,
13,hazardous or electric items disposed,,,,,,,,,,,,
13,large items disposed,2,20,,,,,,,,,,
14,Household heating => 70F,5,86,,1,,,,1,,,,
14,Household heating < 70F,5,61,1,,,,,1,,,,
14,Use of heat pump,,47,,,,,,,,,,
14,Use of air conditioner,22,39,,,,1,,,,,,
14,shower - short,4,97,1,,,,,,,,,
14,shower - long (> 3 min),29,91,,,,,,,,,,
14,bath,,21,,,,,,,,,,
14,wash-up,34,38,,,,,,,,,,
14,use of dishwasher,,24,,,,1,,,,,,
14,use of clothes washer,4,38,,,,,,,,,,
14,use of clothes dryer,1,11,,,,,,,,,1,
14,use of cooking range,,,,,,,,,,,1,
14,use of  oven,12,32,,,,,,,,,1,
14,use of self-clean feature of electric oven,1,19,,,,,,,,,,
14,Small kitchen appliance in the home,,,,,,,,,,,,
14,TV/computer use,61,30,,,,,,,,,,
14,air travel - large plane,2447,49,,,,,,,,,,1
14,air travel - small  plane (<50 seats),,,,,,,,,,,,
14,car trips- self only,449,60,,,,,1,,,,,
14,car trips - driver and self,39,27,,,,,1,,,,,
14,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
14,trips using public ground transportation,16,61,,,,,,,,,,
14,bags of garbage disposed,23,48,,,,,,,,,,
14,bags of recycling deposited (negative CF),,,,,,,,,,,,
14,bags of compost deposited (negative CF),,,,,,,,,,,,
14,hazardous or electric items disposed,,,,,,,,,,,,
14,large items disposed,1,15,,,,,,,,,,
15,Household heating => 70F,8,87,,,,,,1,,,,
15,Household heating < 70F,4,73,,,,,,1,,,,
15,Use of heat pump,,50,,,,,,,,,,
15,Use of air conditioner,31,52,,,,,,,,,,
15,shower - short,4,84,,1,,,,,,,,
15,shower - long (> 3 min),28,72,,,,,,,1,,,
15,bath,,12,,,,,,,,,,
15,wash-up,53,25,,,,1,,,,,,
15,use of dishwasher,,20,,,,,,,,,,
15,use of clothes washer,2,46,,,,,,,,,,
15,use of clothes dryer,4,19,,,,,,,,,,
15,use of cooking range,,,,,,,,,,,,
15,use of  oven,9,31,,,,,,,,,,
15,use of self-clean feature of electric oven,2,18,,,,,,,,,,
15,Small kitchen appliance in the home,,,,,,,,,,,,
15,TV/computer use,63,30,,,,,,,,,,
15,air travel - large plane,3180,47,,,,,,,,,,
15,air travel - small  plane (<50 seats),,,,,,,,,,,,
15,car trips- self only,282,59,,,,,1,,,,,
15,car trips - driver and self,11,20,,,,,1,,,,,
15,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
15,trips using public ground transportation,15,44,,,,,,,,,,
15,bags of garbage disposed,26,49,,,,,,,,,,
15,bags of recycling deposited (negative CF),,,,,,,,,,,,
15,bags of compost deposited (negative CF),,,,,,,,,,,,
15,hazardous or electric items disposed,,,,,,,,,,,,
15,large items disposed,,15,,,,,,,,,,
16,Household heating => 70F,5,62,,,,,,1,,,,
16,Household heating < 70F,5,69,,,,,,1,,,,
16,Use of heat pump,,49,,,,,,,,,,
16,Use of air conditioner,28,41,,,,,,,,,,
16,shower - short,7,93,,,1,,,,,,,
16,shower - long (> 3 min),28,87,,1,,,,,,,,
16,bath,,16,,,,,,,,,,
16,wash-up,43,34,,,,,,,,,,
16,use of dishwasher,,20,,,,,,,,,,
16,use of clothes washer,4,29,,,,,,,,,,
16,use of clothes dryer,3,16,,,,,,,,,1,
16,use of cooking range,,,,,,,,,,,1,
16,use of  oven,11,33,,,,,,,,,1,
16,use of self-clean feature of electric oven,3,12,,,,,,,,,,
16,Small kitchen appliance in the home,,,,,,,,,,,,
16,TV/computer use,60,30,,,,,,,,,,
16,air travel - large plane,2003,51,,,,,,,,,,
16,air travel - small  plane (<50 seats),,,,,,,,,,,,
16,car trips- self only,461,49,,,,,1,,,,,
16,car trips - driver and self,13,40,,,,,1,,,,,
16,car trips - 2+ people with multiple end points,18,,,,,,1,,,,,
16,trips using public ground transportation,15,42,,,,,,,,,,
16,bags of garbage disposed,21,51,,,,,,,,,,
16,bags of recycling deposited (negative CF),,,,,,,,,,,,
16,bags of compost deposited (negative CF),,,,,,,,,,,,
16,hazardous or electric items disposed,,,,,,,,,,,,
16,large items disposed,2,15,,,,,,,,,,
17,Household heating => 70F,10,76,1,,,,,1,,,,
17,Household heating < 70F,5,76,,,,,,1,,,,
17,Use of heat pump,,42,,,,,,,,,,
17,Use of air conditioner,28,38,,,,,,,,,,
17,shower - short,8,89,,,1,1,,,,,,
17,shower - long (> 3 min),16,87,,,,,,,,,,
17,bath,,18,,,,,,,,,,
17,wash-up,49,43,,,,,,,,,,
17,use of dishwasher,,20,,,,,,,,,,
17,use of clothes washer,6,31,,,,1,,,,,,
17,use of clothes dryer,4,15,,,,,,,,,,
17,use of cooking range,,,,,,,,,,,,
17,use of  oven,11,41,,,,,,,,1,,
17,use of self-clean feature of electric oven,2,19,,,,,,,,,,
17,Small kitchen appliance in the home,,,,,,,,,,,,
17,TV/computer use,62,27,,,,,,,,,,
17,air travel - large plane,3972,48,,,,,,,,,,
17,air travel - small  plane (<50 seats),,,,,,,,,,,,
17,car trips- self only,419,60,,,,,1,,,,,
17,car trips - driver and self,20,28,,,,,1,,,,,
17,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
17,trips using public ground transportation,12,52,,,,,,,,,,
17,bags of garbage disposed,22,43,,,,,,,,,,
17,bags of recycling deposited (negative CF),,,,,,,,,,,,
17,bags of compost deposited (negative CF),,,,,,,,,,,,
17,hazardous or electric items disposed,3,,,,,,,,,,,
17,large items disposed,2,14,,,,,,,,,,
18,Household heating => 70F,10,71,,,,,,1,,,,
18,Household heating < 70F,9,76,,,,1,,1,,,,
18,Use of heat pump,,54,,,,,1,,,,,
18,Use of air conditioner,29,53,,,1,,,,,,,
18,shower - short,8,89,,,,,,,,,,
18,shower - long (> 3 min),24,82,,,,,,,,,,
18,bath,7,18,,,,,,,,,,
18,wash-up,38,28,,,,,,,,,,
18,use of dishwasher,,19,,,,,,,,,,
18,use of clothes washer,7,43,,,,,,,,,,
18,use of clothes dryer,2,12,,,,,,,,,1,
18,use of cooking range,,,,,,,,,,,1,
18,use of  oven,12,40,,,,,,,,,1,
18,use of self-clean feature of electric oven,4,15,,,,,,,,,,
18,Small kitchen appliance in the home,,,,,,,,,,,,
18,TV/computer use,61,28,,,,,,,,,,
18,air travel - large plane,2382,50,,,,,,,,,,
18,air travel - small  plane (<50 seats),,,,,,,,,,,,
18,car trips- self only,348,47,,,,,1,,,,,
18,car trips - driver and self,37,23,,,,,1,,,,,
18,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
18,trips using public ground transportation,12,58,,,,,,,,,,
18,bags of garbage disposed,22,46,,,,,,,,,,
18,bags of recycling deposited (negative CF),,,,,,,,,,,,
18,bags of compost deposited (negative CF),7,15,,,,,,,,,,
18,hazardous or electric items disposed,,,,,,,,,,,,
18,large items disposed,2,19,,,,,,,,,,
19,Household heating => 70F,3,92,,,,,,1,,,,
19,Household heating < 70F,4,86,,,,,,1,,,,
19,Use of heat pump,,40,,,,,,,,,,
19,Use of air conditioner,17,43,,,,1,,,,,,
19,shower - short,4,83,,,,,,,,,,
19,shower - long (> 3 min),38,82,,,,,,,,,,
19,bath,,16,,,,,,,,,,
19,wash-up,43,24,,,,,,,,,,
19,use of dishwasher,,23,,,,,,,,,,
19,use of clothes washer,2,38,,,,,,,,,,
19,use of clothes dryer,3,16,,,,,,,,,,
19,use of cooking range,,,,,,,,,,,,
19,use of  oven,8,33,,,,,,,,,,
19,use of self-clean feature of electric oven,1,21,,,,,,,,,,
19,Small kitchen appliance in the home,52,,,,,,,,,,,
19,TV/computer use,58,30,,,,1,,,,,,
19,air travel - large plane,2501,43,,,,,,,,,,1
19,air travel - small  plane (<50 seats),,,,,,,,,,,,1
19,car trips- self only,301,54,,,,,1,,,,,
19,car trips - driver and self,31,26,,,,,1,,,,,
19,car trips - 2+ people with multiple end points,30,,,,,,1,,,,,
19,trips using public ground transportation,19,54,,,,,,,,,,
19,bags of garbage disposed,23,44,,,,,,,,,,
19,bags of recycling deposited (negative CF),,,,,,,,,,,,
19,bags of compost deposited (negative CF),,,,,,,,,,,,
19,hazardous or electric items disposed,,,,,,,,,,,,
19,large items disposed,2,20,,,,,,,,,,
20,Household heating => 70F,1,86,,,,,,1,,,,
20,Household heating < 70F,2,63,,,,,,1,,,,
20,Use of heat pump,,45,,,,,,,,,,
20,Use of air conditioner,14,48,,,,,,,,,,
20,shower - short,7,91,,,,,,,,,,
20,shower - long (> 3 min),37,87,,,1,,,,,,,
20,bath,5,14,,,,,,,,,,
20,wash-up,51,24,,1,,,,,,,,
20,use of dishwasher,,20,,1,,,,,,,,
20,use of clothes washer,2,30,,,,,,,,,,
20,use of clothes dryer,2,15,,,,,,,,,1,
20,use of cooking range,,,,,,1,,,,,1,
20,use of  oven,11,35,,,1,,,,,,1,
20,use of self-clean feature of electric oven,1,21,,,,,,,,,,
20,Small kitchen appliance in the home,53,,,,,,,,,,,
20,TV/computer use,64,21,,,,,,,,,,
20,air travel - large plane,2459,47,,,,,,,,,,
20,air travel - small  plane (<50 seats),,,,,,,,,,,,
20,car trips- self only,287,53,,,,,1,,,,,
20,car trips - driver and self,13,28,,,,,1,,,,,
20,car trips - 2+ people with multiple end points,23,,,,,,1,,,,,
20,trips using public ground transportation,18,51,,,,,,,,,,
20,bags of garbage disposed,28,48,,,,,,,,,,
20,bags of recycling deposited (negative CF),,,,,,,,,,,,
20,bags of compost deposited (negative CF),,,,,,,,,,,,
20,hazardous or electric items disposed,,,,,,,,,,,,
20,large items disposed,,18,,,,,,,,,,
21,Household heating => 70F,6,80,,,,,,1,,,,
21,Household heating < 70F,2,90,,1,,,1,1,,,,
21,Use of heat pump,,53,,,,,,,,,,
21,Use of air conditioner,18,57,,,,,,,,,,
21,shower - short,2,97,,,,,,,,,,
